receiver,num_users,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler,dmrs_case,dmrs_label,variant,variant_label,seed,training_seed,evaluation_seed
baseline_ls_lmmse,3,-4.0,0.3504456865026595,1.0,0.5033803059786657,607185,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,-4.0,0.3498310062056737,1.0,0.1926892973770082,606120,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,-4.0,0.3504393376920803,1.0,0.5038724170338211,607174,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
upair5g_lmmse,3,-4.0,0.3483973293439716,1.0,0.3382320047873842,603636,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
perfect_csi_lmmse,3,-4.0,0.4424959367612293,0.3333333333333333,0.0,766672,1732608,96,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
baseline_ls_lmmse,3,-2.0,0.3486322353354019,1.0,0.3369037409038398,604043,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,-2.0,0.350209049017435,1.0,0.1474263011129288,606775,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,-2.0,0.348648973108747,1.0,0.3377678227640895,604072,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
upair5g_lmmse,3,-2.0,0.3464822972074468,1.0,0.2125144860092353,600318,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
perfect_csi_lmmse,3,-2.0,0.4427371915632387,0.3333333333333333,0.0,767090,1732608,96,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
baseline_ls_lmmse,3,0.0,0.3474802147975768,1.0,0.2320541211050051,602047,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,0.0,0.3491268653959811,1.0,0.1136568621283115,604900,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,0.0,0.3476533641770095,1.0,0.2322116968541404,602347,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
upair5g_lmmse,3,0.0,0.3451069139701536,1.0,0.1367124747193064,597935,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
perfect_csi_lmmse,3,0.0,0.4443267028664303,0.3333333333333333,0.0,769844,1732608,96,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
baseline_ls_lmmse,3,2.0,0.347327266179078,1.0,0.1628411375873944,601782,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,2.0,0.3481756981382978,1.0,0.0872924751956909,603252,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,2.0,0.347332460660461,1.0,0.1629797609444559,601791,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
upair5g_lmmse,3,2.0,0.3446942412825059,1.0,0.0887979653466887,597220,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
perfect_csi_lmmse,3,2.0,0.4466024628767731,0.3333333333333333,0.0,773787,1732608,96,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
baseline_ls_lmmse,3,4.0,0.3481208675014775,1.0,0.1172981493935873,603157,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,4.0,0.3481589603649527,1.0,0.0657425795211441,603223,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,4.0,0.3481866642656619,1.0,0.1183948445156736,603271,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
upair5g_lmmse,3,4.0,0.3447075160682624,1.0,0.0591276734744072,597243,1732608,288,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
perfect_csi_lmmse,3,4.0,0.4464206560283688,0.3333333333333333,0.0,773472,1732608,96,288,1,True,True,1dmrs,1-DMRS,deep_d96_b6_r2,"d=96, L=6, r=2",7,7,1007
