receiver,num_users,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler,dmrs_case,dmrs_label,variant,variant_label,seed,training_seed,evaluation_seed
baseline_ls_lmmse,3,-4.0,0.3501369034426714,1.0,0.501332101287109,606650,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,-4.0,0.350156527039007,1.0,0.1899117324519243,606684,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,-4.0,0.3503060126699172,1.0,0.5012993281955217,606943,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
upair5g_lmmse,3,-4.0,0.3481589603649527,1.0,0.3396401123991399,603223,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
perfect_csi_lmmse,3,-4.0,0.4417421597960992,0.3333333333333333,0.0,765366,1732608,96,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ls_lmmse,3,-2.0,0.3486195377142435,1.0,0.3373546471759465,604021,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,-2.0,0.3502027002068558,1.0,0.146584312706338,606764,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,-2.0,0.3487251588356974,1.0,0.3387538916721712,604204,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
upair5g_lmmse,3,-2.0,0.3461763999704492,1.0,0.2118384066482782,599788,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
perfect_csi_lmmse,3,-2.0,0.4430367399896572,0.3333333333333333,0.0,767609,1732608,96,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ls_lmmse,3,0.0,0.3470069398271276,1.0,0.2370598357954529,601227,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,0.0,0.3487078438977541,1.0,0.1178916183988898,604174,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,0.0,0.3470109799793144,1.0,0.2371333141286543,601234,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
upair5g_lmmse,3,0.0,0.3449147181589834,1.0,0.1386363388656029,597602,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
perfect_csi_lmmse,3,0.0,0.4444617593823877,0.3333333333333333,0.0,770078,1732608,96,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ls_lmmse,3,2.0,0.3460984827497045,1.0,0.160175863593696,599653,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,2.0,0.3484071411421395,1.0,0.0848688258861715,603653,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,2.0,0.3462699006353428,1.0,0.1611037924598878,599950,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
upair5g_lmmse,3,2.0,0.3442128860076832,1.0,0.0890189401227272,596386,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
perfect_csi_lmmse,3,2.0,0.446873153073286,0.3333333333333333,0.0,774256,1732608,96,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ls_lmmse,3,4.0,0.3477993868203309,1.0,0.124525679482354,602600,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,4.0,0.3483269152630023,1.0,0.0748129099134414,603514,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,4.0,0.3480654597000591,1.0,0.1246432198418511,603061,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
upair5g_lmmse,3,4.0,0.3448575788637706,1.0,0.0604642762078179,597503,1732608,288,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
perfect_csi_lmmse,3,4.0,0.4468385231973995,0.3333333333333333,0.0,774196,1732608,96,288,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
