receiver,num_users,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler,dmrs_case,dmrs_label,variant,variant_label,seed,training_seed,evaluation_seed
baseline_ls_lmmse,3,-4.0,0.3502760001108156,1.0,0.5063503653192946,606891,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
baseline_ls_2dlmmse_lmmse,3,-4.0,0.350049751588357,1.0,0.192661460907213,606499,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
baseline_ddcpe_ls_lmmse,3,-4.0,0.3502973552009456,1.0,0.5072112152573829,606928,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
upair5g_lmmse,3,-4.0,0.3481099013741134,1.0,0.343583855379148,603138,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
perfect_csi_lmmse,3,-4.0,0.4428462756722813,0.3333333333333333,0.0,767279,1732608,96,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
baseline_ls_lmmse,3,-2.0,0.3485785590277778,1.0,0.3376591746721063,603950,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
baseline_ls_2dlmmse_lmmse,3,-2.0,0.3497271165780142,1.0,0.1469797475911776,605940,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
baseline_ddcpe_ls_lmmse,3,-2.0,0.3486766770094562,1.0,0.3382028749798101,604120,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
upair5g_lmmse,3,-2.0,0.3463795619089834,1.0,0.2133369002770045,600140,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
perfect_csi_lmmse,3,-2.0,0.4436127502585697,0.3333333333333333,0.0,768607,1732608,96,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
baseline_ls_lmmse,3,0.0,0.34747617464539,1.0,0.2306418663531833,602040,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
baseline_ls_2dlmmse_lmmse,3,0.0,0.3495660876551418,1.0,0.1124314478527752,605661,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
baseline_ddcpe_ls_lmmse,3,0.0,0.3475806414376478,1.0,0.2306794683656721,602221,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
upair5g_lmmse,3,0.0,0.3451167257683215,1.0,0.137797490728697,597952,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
perfect_csi_lmmse,3,0.0,0.4446112450132978,0.3333333333333333,0.0,770337,1732608,96,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
baseline_ls_lmmse,3,2.0,0.3467073914007092,1.0,0.1620216763498411,600708,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
baseline_ls_2dlmmse_lmmse,3,2.0,0.3483257609338061,1.0,0.0862891129818197,603512,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
baseline_ddcpe_ls_lmmse,3,2.0,0.3467668393543144,1.0,0.1630924935966071,600811,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
upair5g_lmmse,3,2.0,0.3445603390957447,1.0,0.089688051560535,596988,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
perfect_csi_lmmse,3,2.0,0.4466624879949764,0.3333333333333333,0.0,773891,1732608,96,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
baseline_ls_lmmse,3,4.0,0.3475529375369385,1.0,0.1188085308132919,602173,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
baseline_ls_2dlmmse_lmmse,3,4.0,0.347539662751182,1.0,0.0679122737729428,602150,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
baseline_ddcpe_ls_lmmse,3,4.0,0.3476181571365248,1.0,0.1194948394867779,602286,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
upair5g_lmmse,3,4.0,0.3440697491873522,1.0,0.0603676278139257,596138,1732608,288,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
perfect_csi_lmmse,3,4.0,0.4466624879949764,0.3333333333333333,0.0,773891,1732608,96,288,1,True,True,1dmrs,1-DMRS,mlpwide_d96_b4_r4,"d=96, L=4, r=4",7,7,1007
